S1223 RTL_thicc_20
 1.0000000     0.0000076
 0.9935818     0.0056015
 0.9842365     0.0138528
 0.9734513     0.0215654
 0.9606201     0.0286150
 0.9451719     0.0356765
 0.9266417     0.0431170
 0.9048784     0.0510217
 0.8801651     0.0593212
 0.8531487     0.0678934
 0.8245863     0.0766018
 0.7951268     0.0852529
 0.7652352     0.0935697
 0.7351997     0.1012277
 0.7051431     0.1084365
 0.6750645     0.1154623
 0.6448817     0.1221656
 0.6144600     0.1284792
 0.5836482     0.1344173
 0.5522954     0.1400533
 0.5203045     0.1454763
 0.4876866     0.1507564
 0.4545936     0.1558919
 0.4213247     0.1607659
 0.3883117     0.1651847
 0.3560449     0.1689263
 0.3250461     0.1718435
 0.2958535     0.1738879
 0.2688053     0.1737825
 0.2438003     0.1713228
 0.2204772     0.1688984
 0.1985015     0.1646175
 0.1776460     0.1580429
 0.1577574     0.1516062
 0.1387599     0.1442324
 0.1206446     0.1355390
 0.1034655     0.1252432
 0.0873354     0.1148406
 0.0724492     0.1045214
 0.0590551     0.0939690
 0.0473670     0.0835279
 0.0374609     0.0735747
 0.0292517     0.0643030
 0.0225415     0.0557595
 0.0170973     0.0479076
 0.0126961     0.0404454
 0.0091488     0.0332201
 0.0063103     0.0279201
 0.0040730     0.0217889
 0.0023627     0.0155819
 0.0011263     0.0115587
 0.0003371     0.0055095
-0.0000082     0.0008836
 0.0001406    -0.0042087
 0.0010417    -0.0094412
 0.0030956    -0.0135555
 0.0062747    -0.0175496
 0.0102016    -0.0197892
 0.0147115    -0.0220215
 0.0198423    -0.0239630
 0.0257351    -0.0256913
 0.0326109    -0.0271791
 0.0407928    -0.0285185
 0.0507547    -0.0297500
 0.0631707    -0.0307658
 0.0789038    -0.0312988
 0.0986939    -0.0314572
 0.1224353    -0.0332895
 0.1490512    -0.0329895
 0.1776280    -0.0320212
 0.2079277    -0.0316165
 0.2397238    -0.0286981
 0.2725169    -0.0257532
 0.3057685    -0.0210748
 0.3389457    -0.0150168
 0.3717410    -0.0085270
 0.4040521    -0.0018124
 0.4358602     0.0048865
 0.4671753     0.0113562
 0.4980424     0.0174081
 0.5285045     0.0229066
 0.5586257     0.0277706
 0.5884519     0.0319558
 0.6180352     0.0354481
 0.6474094     0.0382296
 0.6766227     0.0402576
 0.7056930     0.0414492
 0.7346414     0.0417010
 0.7634428     0.0411655
 0.7920532     0.0401078
 0.8203437     0.0384091
 0.8480781     0.0359806
 0.8748377     0.0328161
 0.9000132     0.0290184
 0.9229199     0.0247458
 0.9430656     0.0201587
 0.9603533     0.0153683
 0.9750020     0.0103389
 0.9873415     0.0055977
 1.0000000     0.0000076
